Species;Distribution;mu;nu;ALIA;SD;NR;Date
Sorbus rufoferruginea;planophile;2.98;1.5;30.09;18.14;81;11/10/11
Sorbus subarranensis;planophile;1.72;1.07;34.59;22.47;83;11/10/11
Sorbus subsimilis;planophile;2.04;1.29;34.85;21.06;82;11/10/11
Sorbus torminalis;plagiophile;2.51;1.83;37.94;19.22;105;23/06/17
Syringa oblata;spherical;1.6;2.35;53.52;19.87;80;11/10/11
Syringa tomentella subsp. yunnanensis;planophile;7.88;2.74;23.25;11.55;100;11/10/11
Syringa villosa subsp. wolfii;uniform;1.2;1.39;48.19;23.69;86;11/10/11
Syringa vulgaris;uniform;1.26;1.6;50.28;22.76;80;11/10/11
Trachelospermum jasminoides;plagiophile;2.31;1.82;39.59;19.72;92;20/06/17
Ulmus minor;planophile;3.03;1.87;34.31;18;102;16/06/17
Viburnum lantana;planophile;2.91;1.36;28.71;18.27;80;11/10/11
Viburnum tinus;planophile;1.86;0.88;28.99;21.74;101;20/06/17
Zelkova serrata;planophile;6.02;3.18;31.1;13.4;101;11/10/11
Ziziphus jujuba;uniform;1.11;1.17;46.27;24.82;270;03/07/17
